Sample,Cloud,Plate,COPE5.a,COPE5.b,COPE9.a,COPE9.b,COPE10.a,COPE10.b,CPER26.a,CPER26.b,CPER52.a,CPER52.b,CPER92.a,CPER92.b,CPER99.a,CPER99.b,CPER119.a,CPER119.b,CPER188.a,CPER188.b
18COPE-0278,COPE-M-18,P3,131,131,182,182,200,242,150,150,NA,NA,293,293,166,166,160,160,287,287
18COPE-0279,COPE-M-18,P3,155,159,174,174,230,258,150,150,NA,NA,293,293,166,166,160,166,287,291
18COPE-0280,COPE-M-18,P3,111,111,174,178,176,228,154,158,NA,NA,293,293,166,168,152,152,287,287
18COPE-0281,COPE-M-18,P3,119,119,178,186,196,252,154,158,NA,NA,291,303,164,170,162,162,287,287
18COPE-0282,COPE-M-18,P3,131,223,NA,NA,170,170,148,148,NA,NA,291,291,166,166,168,168,283,287
18COPE-0283,COPE-M-18,P3,131,131,158,170,150,270,150,152,260,260,293,293,166,166,160,164,287,295
18COPE-0284,COPE-M-18,P3,163,311,NA,NA,206,206,150,152,NA,NA,287,293,166,166,158,160,287,287
18COPE-0285,COPE-M-18,P3,111,191,150,150,NA,NA,154,154,320,320,293,293,166,168,158,158,287,287
20COPE-0286,COPE-M-20,P3,271,311,166,166,NA,NA,142,146,236,236,293,297,166,166,168,170,287,287
20COPE-0287,COPE-M-20,P3,127,127,166,166,172,172,152,156,464,464,293,295,166,166,168,168,287,287
20COPE-0288,COPE-M-20,P3,131,139,170,174,164,164,152,152,NA,NA,291,299,166,166,166,166,287,287
20COPE-0289,COPE-M-20,P4,135,191,166,170,162,162,150,152,270,270,293,293,166,166,158,158,287,287
20COPE-0290,COPE-M-20,P4,291,387,170,186,170,182,150,150,NA,NA,293,293,166,166,170,170,287,287
20COPE-0291,COPE-M-20,P4,307,439,166,170,168,168,150,152,280,284,293,293,166,166,164,164,287,291
20COPE-0292,COPE-M-20,P4,111,115,NA,NA,NA,NA,NA,NA,240,240,NA,NA,164,168,158,182,287,287
20COPE-0293,COPE-M-20,P4,135,135,170,186,208,208,150,152,274,274,291,299,166,166,154,158,287,287
20COPE-0294,COPE-M-20,P4,207,263,170,178,208,208,150,150,NA,NA,293,295,166,166,160,182,287,291
20COPE-0295,COPE-M-20,P4,131,131,170,174,222,222,150,152,280,280,295,295,166,166,158,158,287,287
20COPE-0296,COPE-M-20,P4,131,187,NA,NA,NA,NA,150,152,284,284,293,293,166,166,166,166,287,289
20COPE-0297,COPE-M-20,P4,291,307,166,170,174,174,150,158,NA,NA,293,293,166,168,NA,NA,277,287
